ticker,exchange,volatility_1y,last_close,observations,lookback_period,as_of_date,avg_dollar_volume_63d,rank_within_exchange,global_rank
CTKB,NASDAQ,0.6291150284075697,9.119999885559082,249,1y,2024-01-01,6644591.372941032,105,118
GSAT,NASDAQ,0.6250393145067954,29.100000381469727,249,1y,2024-01-01,7071403.112199147,106,120
BEAM,NASDAQ,0.6246974798449575,27.219999313354492,249,1y,2024-01-01,35999007.68024505,107,121
EXPI,NASDAQ,0.6243032947562412,14.842653274536133,249,1y,2024-01-01,15167303.975246066,108,122
LQDA,NASDAQ,0.6237361207227099,12.029999732971191,249,1y,2024-01-01,7691385.375479289,109,123
GLBE,NASDAQ,0.6230491153071878,39.630001068115234,249,1y,2024-01-01,48989171.81855459,110,124
ADTN,NASDAQ,0.619692848808435,7.340000152587891,249,1y,2024-01-01,6517767.254691654,111,125
ACDC,NASDAQ,0.6178696184468575,8.479999542236328,249,1y,2024-01-01,5711723.077765722,112,127
DRVN,NASDAQ,0.616162776429218,14.260000228881836,249,1y,2024-01-01,15650511.85199798,113,128
CENX,NASDAQ,0.6155580255037741,12.140000343322754,249,1y,2024-01-01,12000928.419600593,114,129
LMB,NASDAQ,0.6145934996512521,45.470001220703125,249,1y,2024-01-01,5571096.402725341,115,130
CRSP,NASDAQ,0.6139817265749093,62.599998474121094,249,1y,2024-01-01,160448926.20296782,116,131
MXL,NASDAQ,0.6087806893218946,23.770000457763672,249,1y,2024-01-01,16217723.246376099,117,132
BILI,NASDAQ,0.6084807206156129,12.170000076293945,249,1y,2024-01-01,75351891.35869496,118,133
AMLX,NASDAQ,0.6020960471396937,14.720000267028809,249,1y,2024-01-01,23727350.23541829,119,136
ASND,NASDAQ,0.5958469768890682,125.94999694824219,249,1y,2024-01-01,58877551.93038214,120,137
DAWN,NASDAQ,0.5940597136930352,14.600000381469727,249,1y,2024-01-01,8896701.49159053,121,138
INDI,NASDAQ,0.5937939893162425,8.109999656677246,249,1y,2024-01-01,15906743.118140811,122,139
CRMT,NASDAQ,0.5912339984008944,75.7699966430664,249,1y,2024-01-01,7554980.720404973,123,140
GTM,NASDAQ,0.5889053135716202,18.489999771118164,249,1y,2024-01-01,106275682.11632986,124,141
CMPR,NASDAQ,0.5879641579995196,80.05000305175781,249,1y,2024-01-01,7519081.030327933,125,142
GGAL,NASDAQ,0.586456402036124,15.495495796203613,249,1y,2024-01-01,15740260.508723486,126,143
CPRX,NASDAQ,0.5842306727649329,16.809999465942383,249,1y,2024-01-01,17119755.79674282,127,144
ARHS,NASDAQ,0.58347072290284,10.913043975830078,249,1y,2024-01-01,7361048.114758446,128,145
LNTH,NASDAQ,0.5811927134391368,62.0,249,1y,2024-01-01,78701458.42188275,129,146
GH,NASDAQ,0.5804048936030551,27.049999237060547,249,1y,2024-01-01,41777657.28831821,130,147
MDB,NASDAQ,0.5796262446349042,408.8500061035156,249,1y,2024-01-01,581431709.8618765,131,148
MQ,NASDAQ,0.5796021225198424,6.980000019073486,249,1y,2024-01-01,32151398.842580736,132,149
LOVE,NASDAQ,0.5780649886076236,25.549999237060547,249,1y,2024-01-01,8088592.554729704,133,150
DDOG,NASDAQ,0.5751936597053734,121.37999725341797,249,1y,2024-01-01,425027207.61296105,134,151
KRNT,NASDAQ,0.5750592626584264,19.15999984741211,249,1y,2024-01-01,11226329.132429758,135,152
BZ,NASDAQ,0.5744394448617762,16.493972778320312,249,1y,2024-01-01,43754690.35002239,136,154
AUPH,NASDAQ,0.5741780980576747,8.989999771118164,249,1y,2024-01-01,16279568.456913177,137,155
BCYC,NASDAQ,0.5682115156779138,18.079999923706055,249,1y,2024-01-01,9110597.728974478,138,156
DH,NASDAQ,0.5655948359229779,9.9399995803833,249,1y,2024-01-01,6321512.5499657225,139,157
DUOL,NASDAQ,0.5655548774467448,226.85000610351562,249,1y,2024-01-01,140864083.54664153,140,158
MNDY,NASDAQ,0.5631231963030617,187.80999755859375,249,1y,2024-01-01,145286542.4959213,141,161
AVXL,NASDAQ,0.5623790091359093,9.3100004196167,249,1y,2024-01-01,8064336.420152301,142,162
BCRX,NASDAQ,0.5616401100638435,5.989999771118164,249,1y,2024-01-01,22553686.16931325,143,163
ALGN,NASDAQ,0.5613723307764067,274.0,249,1y,2024-01-01,282152108.1330557,144,164
ACAD,NASDAQ,0.5613652673023002,31.309999465942383,249,1y,2024-01-01,42565194.23011901,145,165
IDYA,NASDAQ,0.5606216771816519,35.58000183105469,249,1y,2024-01-01,27468223.45053052,146,166
